clustering_coefficient,digit_indices,digit_sequence_linearity,found_letters,graph_density,hub_nodes,input_name,largest_component_size,max_degree,mean_degree,mean_step_distance,method_name,metric_type,model_name,num_components,num_edges,num_hubs,num_letters,overall_linearity,sequential_consistency,timestamp,transitivity
1.0,,,,,,animals,50,,,,PHATE,connectivity_graph,Sentence-BERT Multilingual,1,1225,,,,,20250923_075717,
,,0,,,,animals,,,,,PHATE,linearity_analysis,Sentence-BERT Multilingual,,,,,0.9129,,20250923_075717,
,,,,1.0,,animals,,49,49.0,,PHATE,topology_analysis,Sentence-BERT Multilingual,,,0,,,,20250923_075717,1.0
,,,牛;狗;狼;猪;猫;羊;蛇;马;鱼;鸟;鸡;鹿,,,animals,,,,0.1148,PHATE,alphabetical_ordering,Sentence-BERT Multilingual,,,,12,,0.31,20250923_075717,
