davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.6428,,,,0.1391,子-network,,,,,,PHATE,basic_clustering,,Sentence-BERT Multilingual,5,0.5153,20250923_080410,
,0.0,,,,子-network,,120,120.0,,,PHATE,density_analysis,120,Sentence-BERT Multilingual,,,20250923_080410,
,,0.005243804116409526;0.003928028095422414;0.004637786561921573;0.0005731393518027794;0.0010412362583951075,0.29596339780886927;0.2453117392237408;0.28249178159009514;0.20451141128175007;0.17316102619220153,,子-network,,,,0.00308479887679028,,PHATE,boundary_analysis,,Sentence-BERT Multilingual,,,20250923_080410,0.015423994383951398
,,,,,子-network,1.0;1.0;1.0;1.0;1.0,,,,1.0,PHATE,language_coherence,,Sentence-BERT Multilingual,,,20250923_080410,
