davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.5301,,,,0.0403,sample_1,,,,,,PHATE,basic_clustering,,BGE-Base-ZH-v1.5,5,0.6116,20250925_192854,
,0.0,,,,sample_1,,118,118.0,,,PHATE,density_analysis,118,BGE-Base-ZH-v1.5,,,20250925_192854,
,,0.000632423713731869;0.00044745624881368975;0.0024257482833065966;0.00030422356204222727;0.0012461951935100568,0.0977512050194689;0.1500563004137976;0.19536309310883648;0.07517254125092904;0.13492085586599437,,sample_1,,,,0.0010112094002808878,,PHATE,boundary_analysis,,BGE-Base-ZH-v1.5,,,20250925_192854,0.005056047001404439
,,,,,sample_1,,,,,0,PHATE,language_coherence,,BGE-Base-ZH-v1.5,,,20250925_192854,
