davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.5327,,,,0.0487,sample_1,,,,,,PHATE,basic_clustering,,mBERT,5,0.6574,20250925_191459,
,0.0,,,,sample_1,,118,118.0,,,PHATE,density_analysis,118,mBERT,,,20250925_191459,
,,0.0015471709193008057;0.0011079705109756008;0.0025261332095780804;0.00020338807969535916;0.003299154125551407,0.15305823169364716;0.1526130488059371;0.19853880376813232;0.10373602561072681;0.2414682656933541,,sample_1,,,,0.0017367633690202507,,PHATE,boundary_analysis,,mBERT,,,20250925_191459,0.008683816845101253
,,,,,sample_1,,,,,0,PHATE,language_coherence,,mBERT,,,20250925_191459,
