chi_statistic,expected_voids,input_name,is_significant,max_void_distance,mean_void_distance,method_name,metric_type,model_name,num_voids,observed_voids,p_value,significance_level,timestamp,total_void_area_estimate,void_distance_std
,,sample_1,,,0.09003364860065147,PHATE,void_regions,Snowflake-Arctic-Embed2 (Ollama),16,,,,20250925_121942,,
0.0,20.0,sample_1,False,,,PHATE,void_significance,Snowflake-Arctic-Embed2 (Ollama),,20,1.0,0.050000000000000044,20250925_121942,,
,,sample_1,,0.1463,,PHATE,void_geometry,Snowflake-Arctic-Embed2 (Ollama),,,,,20250925_121942,0.16000000000000003,0.0336
