davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.4906,,,,0.0245,ASCII-words,,,,,,PHATE,basic_clustering,,Snowflake-Arctic-Embed2 (Ollama),5,0.6069,20250925_125720,
,0.0,,,,ASCII-words,,118,118.0,,,PHATE,density_analysis,118,Snowflake-Arctic-Embed2 (Ollama),,,20250925_125720,
,,7.427119382562354e-07;1.1520149817083328e-05;1.2612156732794558e-09;1.4586559364574356e-06;1.2605837535232695e-06,0.27063065023128896;0.3690890770492445;0.10592171662258122;0.24397863352356775;0.32208062139742594,,ASCII-words,,,,2.9966725321987096e-06,,PHATE,boundary_analysis,,Snowflake-Arctic-Embed2 (Ollama),,,20250925_125720,1.4983362660993549e-05
,,,,,ASCII-words,,,,,0,PHATE,language_coherence,,Snowflake-Arctic-Embed2 (Ollama),,,20250925_125720,
