davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.6237,,,,0.1556,ASCII-words,,,,,,PHATE,basic_clustering,,Sentence-BERT Multilingual,5,0.5289,20250925_184402,
,0.0,,,,ASCII-words,,118,118.0,,,PHATE,density_analysis,118,Sentence-BERT Multilingual,,,20250925_184402,
,,0.002279506081547193;0.006204624046488299;0.004208255588439951;0.004961578653660339;0.0006320870548529548,0.22470732548685673;0.3035361623944191;0.3104483529473587;0.3006943025712129;0.11665906848723323,,ASCII-words,,,,0.0036572102849977473,,PHATE,boundary_analysis,,Sentence-BERT Multilingual,,,20250925_184402,0.018286051424988736
,,,,,ASCII-words,,,,,0,PHATE,language_coherence,,Sentence-BERT Multilingual,,,20250925_184402,
