davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.4421,,,,0.0219,sample_1,,,,,,PHATE,basic_clustering,,Snowflake-Arctic-Embed2 (Ollama),5,0.6255,20250925_191301,
,0.0,,,,sample_1,,118,118.0,,,PHATE,density_analysis,118,Snowflake-Arctic-Embed2 (Ollama),,,20250925_191301,
,,0.0004574864691400654;0.0012989370389829345;1.9519541798478617e-05;0.00020255127338254073;0.00022924283868312083,0.08485959729568789;0.24965726121744278;0.07274798367780293;0.0973469080658768;0.06849645320819747,,sample_1,,,,0.00044154743239742806,,PHATE,boundary_analysis,,Snowflake-Arctic-Embed2 (Ollama),,,20250925_191301,0.0022077371619871403
,,,,,sample_1,,,,,0,PHATE,language_coherence,,Snowflake-Arctic-Embed2 (Ollama),,,20250925_191301,
